"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","exploration_fraction","history_len","lr","nb_timesteps","optimization_mode","problem","problemclass_eval","problemclass_train","reward_system","agent_count","agent_score","all_optimizer_count.Adam","all_optimizer_count.RMSprop","all_optimizer_count.SGD","all_optimizer_count.agent","all_optimizers_scores.Adam","all_optimizers_scores.RMSprop","all_optimizers_scores.SGD","all_optimizers_scores.agent","optimizers_scores.Adam","optimizers_scores.RMSprop","optimizers_scores.SGD","optimizers_scores.agent","optimizers_scores.random_agent"
"easy-sweep-53","b9mb8jl4","finished","-","tidiane","","2022-12-03T04:26:15.000Z","714","qmr074oo","0.25","15","0.01","88550","hard","","","","inverse","","0.26","","","","","","","","","0.01","0.69","0.04","0.26","0"
"restful-sweep-52","whvscye9","finished","-","tidiane","","2022-12-03T04:23:49.000Z","598","qmr074oo","0.25","15","0.01","7836","hard","","","","threshold","","0.018","","","","","","","","","0.022","0.912","0.032","0.018","0.016"
"ruby-sweep-51","b9mb8jl4","finished","-","tidiane","","2022-12-03T04:14:08.000Z","722","qmr074oo","0.25","15","0.01","88967","hard","","","","opposite","","0.27","","","","","","","","","0.01","0.68","0.04","0.27","0"
"noble-sweep-50","whvscye9","finished","-","tidiane","","2022-12-03T04:12:35.000Z","670","qmr074oo","0.25","15","0.01","25764","hard","","","","threshold","","0.018","","","","","","","","","0.018","0.912","0.04","0.018","0.012"
"lunar-sweep-49","b9mb8jl4","finished","-","tidiane","","2022-12-03T03:57:36.000Z","989","qmr074oo","0.25","15","0.01","70756","hard","","","","lookahead","","0.01","","","","","","","","","0.01","0.94","0.04","0.01","0"
"playful-sweep-48","b9mb8jl4","finished","-","tidiane","","2022-12-03T03:38:16.000Z","1155","qmr074oo","0.25","15","0.01","89658","hard","","","","lookahead","","0.35","","","","","","","","","0.01","0.6","0.04","0.35","0"
"fine-sweep-47","whvscye9","finished","-","tidiane","","2022-12-03T03:38:03.000Z","2070","qmr074oo","0.25","15","0.01","83884","hard","","","","lookahead","","0.014","","","","","","","","","0.022","0.912","0.04","0.014","0.012"
"pretty-sweep-46","b9mb8jl4","finished","-","tidiane","","2022-12-03T03:27:32.000Z","639","qmr074oo","0.25","15","0.01","65345","hard","","","","opposite","","0.34","","","","","","","","","0.01","0.59","0.04","0.34","0.02"
"upbeat-sweep-45","whvscye9","finished","-","tidiane","","2022-12-03T03:19:28.000Z","1111","qmr074oo","0.25","15","0.01","68148","hard","","","","inverse","","0.2","","","","","","","","","0.02","0.726","0.038","0.2","0.016"
"eager-sweep-44","b9mb8jl4","finished","-","tidiane","","2022-12-03T03:18:18.000Z","548","qmr074oo","0.25","15","0.01","38034","hard","","","","opposite","","0.01","","","","","","","","","0.01","0.94","0.04","0.01","0"
